Cities=4 getNumberofCities Norway 97512 Zone:5 (turnaround time: 114 ms, execution time: 112 ms, waiting time: 2 ms, processed by Server 5)
Cities=5 getNumberofCities Kuwait 81013 Zone:5 (turnaround time: 116 ms, execution time: 114 ms, waiting time: 2 ms, processed by Server 5)
Cities=5 getNumberofCities Kuwait 81013 Zone:5 (turnaround time: 118 ms, execution time: 116 ms, waiting time: 2 ms, processed by Server 5)
Cities=3 getNumberofCities Chad 95635 Zone:2 (turnaround time: 116 ms, execution time: 114 ms, waiting time: 2 ms, processed by Server 2)
Cities=12 getNumberofCities Tunisia 75720 Zone:5 (turnaround time: 116 ms, execution time: 114 ms, waiting time: 2 ms, processed by Server 5)
Cities=12 getNumberofCities Tunisia 75720 Zone:5 (turnaround time: 118 ms, execution time: 117 ms, waiting time: 1 ms, processed by Server 5)
Cities=12 getNumberofCities Tunisia 75720 Zone:5 (turnaround time: 116 ms, execution time: 114 ms, waiting time: 2 ms, processed by Server 5)
Cities=4 getNumberofCities Guam 16010 Zone:1 (turnaround time: 117 ms, execution time: 115 ms, waiting time: 2 ms, processed by Server 1)
Countries=128 getNumberofCountries 16 17136 71980  Zone:5 (turnaround time: 135 ms, execution time: 133 ms, waiting time: 2 ms, processed by Server 5)
Countries=128 getNumberofCountries 16 17136 71980  Zone:5 (turnaround time: 123 ms, execution time: 121 ms, waiting time: 2 ms, processed by Server 5)
Countries=41 getNumberofCountries 32 68523 163219  Zone:4 (turnaround time: 117 ms, execution time: 114 ms, waiting time: 3 ms, processed by Server 4)
Countries=37 getNumberofCountries 40 59399 105732  Zone:4 (turnaround time: 116 ms, execution time: 114 ms, waiting time: 2 ms, processed by Server 4)
Countries=34 getNumberofCountries 38 67728 135271  Zone:1 (turnaround time: 117 ms, execution time: 115 ms, waiting time: 2 ms, processed by Server 1)
Countries=156 getNumberofCountries 4 26295 32725  Zone:1 (turnaround time: 116 ms, execution time: 114 ms, waiting time: 2 ms, processed by Server 1)
Countries=156 getNumberofCountries 4 26295 32725  Zone:1 (turnaround time: 116 ms, execution time: 114 ms, waiting time: 2 ms, processed by Server 1)
Countries=31 getNumberofCountries 35 94789 129232  Zone:2 (turnaround time: 118 ms, execution time: 116 ms, waiting time: 2 ms, processed by Server 2)
Countries=31 getNumberofCountries 47 70908 89920  Zone:4 (turnaround time: 117 ms, execution time: 115 ms, waiting time: 2 ms, processed by Server 4)
Countries=31 getNumberofCountries 47 70908 89920  Zone:4 (turnaround time: 116 ms, execution time: 114 ms, waiting time: 2 ms, processed by Server 4)
Countries=31 getNumberofCountries 47 70908 89920  Zone:4 (turnaround time: 115 ms, execution time: 113 ms, waiting time: 2 ms, processed by Server 4)
Countries=50 getNumberofCountries 18 82502 166121  Zone:1 (turnaround time: 115 ms, execution time: 113 ms, waiting time: 2 ms, processed by Server 1)
Countries=71 getNumberofCountries 26 36349 85074  Zone:5 (turnaround time: 115 ms, execution time: 113 ms, waiting time: 2 ms, processed by Server 5)
Countries=71 getNumberofCountries 26 36349 85074  Zone:5 (turnaround time: 117 ms, execution time: 115 ms, waiting time: 2 ms, processed by Server 5)
Countries=25 getNumberofCountries 41 99830 129236  Zone:5 (turnaround time: 116 ms, execution time: 114 ms, waiting time: 2 ms, processed by Server 5)
Countries=33 getNumberofCountries 26 108363 151844  Zone:2 (turnaround time: 114 ms, execution time: 113 ms, waiting time: 1 ms, processed by Server 2)
Countries=47 getNumberofCountries 20 88451 159264  Zone:1 (turnaround time: 119 ms, execution time: 118 ms, waiting time: 1 ms, processed by Server 1)
Countries=59 getNumberofCountries 23 53247 109979  Zone:5 (turnaround time: 116 ms, execution time: 114 ms, waiting time: 2 ms, processed by Server 5)
Countries=59 getNumberofCountries 23 53247 109979  Zone:5 (turnaround time: 117 ms, execution time: 115 ms, waiting time: 2 ms, processed by Server 5)
Countries=59 getNumberofCountries 23 53247 109979  Zone:5 (turnaround time: 117 ms, execution time: 115 ms, waiting time: 2 ms, processed by Server 5)
Countries=59 getNumberofCountries 23 53247 109979  Zone:5 (turnaround time: 120 ms, execution time: 118 ms, waiting time: 2 ms, processed by Server 5)
