Population=4722032 getPopulationofCountry Guinea Zone:1 (turnaround time: 318 ms, execution time: 317 ms, waiting time: 1 ms, processed by Server 1)
Population=357957 getPopulationofCountry Bahamas Zone:4 (turnaround time: 405 ms, execution time: 404 ms, waiting time: 1 ms, processed by Server 3)
Population=266998322 getPopulationofCountry United States Zone:1 (turnaround time: 122 ms, execution time: 120 ms, waiting time: 2 ms, processed by Server 1)
Population=1565638 getPopulationofCountry Togo Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=4896738 getPopulationofCountry Tunisia Zone:3 (turnaround time: 262 ms, execution time: 261 ms, waiting time: 1 ms, processed by Server 3)
Population=53608445 getPopulationofCountry Pakistan Zone:1 (turnaround time: 155 ms, execution time: 153 ms, waiting time: 2 ms, processed by Server 1)
Population=53608445 getPopulationofCountry Pakistan Zone:1 (turnaround time: 188 ms, execution time: 188 ms, waiting time: 0 ms, processed by Server 1)
Population=276340 getPopulationofCountry Swaziland Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=316458 getPopulationofCountry Suriname Zone:1 (turnaround time: 171 ms, execution time: 170 ms, waiting time: 1 ms, processed by Server 1)
Population=316458 getPopulationofCountry Suriname Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=316458 getPopulationofCountry Suriname Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=316458 getPopulationofCountry Suriname Zone:1 (turnaround time: 157 ms, execution time: 156 ms, waiting time: 1 ms, processed by Server 1)
Population=134594036 getPopulationofCountry Brazil Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=316458 getPopulationofCountry Suriname Zone:1 (turnaround time: 294 ms, execution time: 293 ms, waiting time: 1 ms, processed by Server 1)
Population=233433 getPopulationofCountry Bhutan Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=16357414 getPopulationofCountry Thailand Zone:1 (turnaround time: 124 ms, execution time: 123 ms, waiting time: 1 ms, processed by Server 1)
Population=7097388 getPopulationofCountry Belarus Zone:2 (turnaround time: 116 ms, execution time: 115 ms, waiting time: 1 ms, processed by Server 2)
Population=7097388 getPopulationofCountry Belarus Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=233433 getPopulationofCountry Bhutan Zone:1 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=7097388 getPopulationofCountry Belarus Zone:2 (turnaround time: 153 ms, execution time: 152 ms, waiting time: 1 ms, processed by Server 2)
Population=7097388 getPopulationofCountry Belarus Zone:2 (turnaround time: 186 ms, execution time: 185 ms, waiting time: 1 ms, processed by Server 2)
Population=8833274 getPopulationofCountry Greece Zone:2 (turnaround time: 119 ms, execution time: 117 ms, waiting time: 2 ms, processed by Server 2)
Population=63717971 getPopulationofCountry Turkey Zone:4 (turnaround time: 240 ms, execution time: 239 ms, waiting time: 1 ms, processed by Server 3)
Population=7375148 getPopulationofCountry Switzerland Zone:3 (turnaround time: 124 ms, execution time: 123 ms, waiting time: 1 ms, processed by Server 3)
Population=3006587 getPopulationofCountry Slovakia Zone:2 (turnaround time: 117 ms, execution time: 116 ms, waiting time: 1 ms, processed by Server 2)
Population=3006587 getPopulationofCountry Slovakia Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=7571439 getPopulationofCountry Kenya Zone:1 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=3006587 getPopulationofCountry Slovakia Zone:3 (turnaround time: 257 ms, execution time: 256 ms, waiting time: 1 ms, processed by Server 3)
Population=3006587 getPopulationofCountry Slovakia Zone:2 (turnaround time: 124 ms, execution time: 123 ms, waiting time: 1 ms, processed by Server 2)
Population=6340891 getPopulationofCountry Guatemala Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=3006587 getPopulationofCountry Slovakia Zone:3 (turnaround time: 392 ms, execution time: 391 ms, waiting time: 1 ms, processed by Server 3)
Population=6340891 getPopulationofCountry Guatemala Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=24859223 getPopulationofCountry Romania Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=4803355 getPopulationofCountry Serbia Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=736951 getPopulationofCountry Gambia Zone:1 (turnaround time: 138 ms, execution time: 137 ms, waiting time: 1 ms, processed by Server 1)
Population=316458 getPopulationofCountry Suriname Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=316458 getPopulationofCountry Suriname Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=316458 getPopulationofCountry Suriname Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=316458 getPopulationofCountry Suriname Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=6340891 getPopulationofCountry Guatemala Zone:1 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=7571439 getPopulationofCountry Kenya Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=189578 getPopulationofCountry French Guiana Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=189578 getPopulationofCountry French Guiana Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=369776 getPopulationofCountry Guyana Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=8480241 getPopulationofCountry Israel Zone:5 (turnaround time: 292 ms, execution time: 288 ms, waiting time: 4 ms, processed by Server 1)
Population=5996338 getPopulationofCountry Senegal Zone:1 (turnaround time: 160 ms, execution time: 156 ms, waiting time: 4 ms, processed by Server 1)
Population=5996338 getPopulationofCountry Senegal Zone:1 (turnaround time: 148 ms, execution time: 147 ms, waiting time: 1 ms, processed by Server 1)
Population=3022187 getPopulationofCountry Benin Zone:2 (turnaround time: 121 ms, execution time: 119 ms, waiting time: 2 ms, processed by Server 2)
Population=5996338 getPopulationofCountry Senegal Zone:1 (turnaround time: 281 ms, execution time: 279 ms, waiting time: 2 ms, processed by Server 1)
Population=3645095 getPopulationofCountry Uganda Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=266998322 getPopulationofCountry United States Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=9362428 getPopulationofCountry Sweden Zone:2 (turnaround time: 118 ms, execution time: 117 ms, waiting time: 1 ms, processed by Server 2)
Population=107338689 getPopulationofCountry Mexico Zone:5 (turnaround time: 316 ms, execution time: 315 ms, waiting time: 1 ms, processed by Server 1)
Population=1182883 getPopulationofCountry Slovenia Zone:4 (turnaround time: 250 ms, execution time: 248 ms, waiting time: 2 ms, processed by Server 3)
Population=1182883 getPopulationofCountry Slovenia Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=63717971 getPopulationofCountry Turkey Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=7375148 getPopulationofCountry Switzerland Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=134594036 getPopulationofCountry Brazil Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=107338689 getPopulationofCountry Mexico Zone:5 (turnaround time: 596 ms, execution time: 595 ms, waiting time: 1 ms, processed by Server 1)
Population=1182883 getPopulationofCountry Slovenia Zone:4 (turnaround time: 329 ms, execution time: 328 ms, waiting time: 1 ms, processed by Server 3)
Population=7287342 getPopulationofCountry Ghana Zone:5 (turnaround time: 276 ms, execution time: 275 ms, waiting time: 1 ms, processed by Server 1)
Population=1182883 getPopulationofCountry Slovenia Zone:4 (turnaround time: 591 ms, execution time: 590 ms, waiting time: 1 ms, processed by Server 3)
Population=1698635 getPopulationofCountry Kuwait Zone:4 (turnaround time: 426 ms, execution time: 425 ms, waiting time: 1 ms, processed by Server 3)
Population=7287342 getPopulationofCountry Ghana Zone:5 (turnaround time: 473 ms, execution time: 471 ms, waiting time: 2 ms, processed by Server 1)
Population=3639169 getPopulationofCountry Cambodia Zone:5 (turnaround time: 477 ms, execution time: 476 ms, waiting time: 1 ms, processed by Server 1)
Population=100848918 getPopulationofCountry Japan Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=100848918 getPopulationofCountry Japan Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=8249 getPopulationofCountry Tuvalu Zone:4 (turnaround time: 254 ms, execution time: 253 ms, waiting time: 1 ms, processed by Server 3)
Population=1073335 getPopulationofCountry Botswana Zone:2 (turnaround time: 130 ms, execution time: 129 ms, waiting time: 1 ms, processed by Server 2)
Population=374575 getPopulationofCountry Guadeloupe Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=3639169 getPopulationofCountry Cambodia Zone:5 (turnaround time: 704 ms, execution time: 703 ms, waiting time: 1 ms, processed by Server 1)
Population=184225 getPopulationofCountry Guam Zone:1 (turnaround time: 293 ms, execution time: 292 ms, waiting time: 1 ms, processed by Server 1)
Population=2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 240 ms, execution time: 239 ms, waiting time: 1 ms, processed by Server 3)
Population=2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=1565638 getPopulationofCountry Togo Zone:1 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=63717971 getPopulationofCountry Turkey Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=3639169 getPopulationofCountry Cambodia Zone:5 (turnaround time: 768 ms, execution time: 767 ms, waiting time: 1 ms, processed by Server 1)
Population=2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 291 ms, execution time: 290 ms, waiting time: 1 ms, processed by Server 3)
Population=2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 595 ms, execution time: 594 ms, waiting time: 1 ms, processed by Server 3)
Population=3989252 getPopulationofCountry Nepal Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=3006587 getPopulationofCountry Slovakia Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=3006587 getPopulationofCountry Slovakia Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=3006587 getPopulationofCountry Slovakia Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=31731367 getPopulationofCountry Canada Zone:5 (turnaround time: 282 ms, execution time: 281 ms, waiting time: 1 ms, processed by Server 1)
Population=15411242 getPopulationofCountry Belgium Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=15411242 getPopulationofCountry Belgium Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=4803355 getPopulationofCountry Serbia Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=3645095 getPopulationofCountry Uganda Zone:3 (turnaround time: 493 ms, execution time: 491 ms, waiting time: 2 ms, processed by Server 3)
Population=31731367 getPopulationofCountry Canada Zone:5 (turnaround time: 458 ms, execution time: 457 ms, waiting time: 1 ms, processed by Server 1)
Population=16383873 getPopulationofCountry Netherlands Zone:4 (turnaround time: 274 ms, execution time: 273 ms, waiting time: 1 ms, processed by Server 3)
Population=7348242 getPopulationofCountry Bolivia Zone:1 (turnaround time: 234 ms, execution time: 233 ms, waiting time: 1 ms, processed by Server 1)
Population=61881622 getPopulationofCountry Philippines Zone:1 (turnaround time: 388 ms, execution time: 387 ms, waiting time: 1 ms, processed by Server 1)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 241 ms, execution time: 240 ms, waiting time: 1 ms, processed by Server 3)
Population=9362428 getPopulationofCountry Sweden Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 327 ms, execution time: 326 ms, waiting time: 1 ms, processed by Server 3)
Population=3989252 getPopulationofCountry Nepal Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 627 ms, execution time: 626 ms, waiting time: 1 ms, processed by Server 3)
Population=7097388 getPopulationofCountry Belarus Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=7097388 getPopulationofCountry Belarus Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=7097388 getPopulationofCountry Belarus Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=266998322 getPopulationofCountry United States Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=16383873 getPopulationofCountry Netherlands Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=16383873 getPopulationofCountry Netherlands Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=1565638 getPopulationofCountry Togo Zone:1 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=316458 getPopulationofCountry Suriname Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 820 ms, execution time: 820 ms, waiting time: 0 ms, processed by Server 3)
