Cities=264 getNumberofCities Pakistan 21858 Zone:5 (turnaround time: 703 ms, execution time: 702 ms, waiting time: 1 ms, processed by Server 1)
Cities=15 getNumberofCities Croatia 29650 Zone:3 (turnaround time: 284 ms, execution time: 283 ms, waiting time: 1 ms, processed by Server 3)
Cities=3 getNumberofCities Chad 95635 Zone:2 (turnaround time: 121 ms, execution time: 120 ms, waiting time: 1 ms, processed by Server 2)
Cities=4 getNumberofCities Norway 97512 Zone:5 (turnaround time: 272 ms, execution time: 271 ms, waiting time: 1 ms, processed by Server 1)
Cities=5 getNumberofCities Kuwait 81013 Zone:5 (turnaround time: 552 ms, execution time: 551 ms, waiting time: 1 ms, processed by Server 1)
Cities=12 getNumberofCities Tunisia 75720 Zone:5 (turnaround time: 522 ms, execution time: 521 ms, waiting time: 1 ms, processed by Server 1)
Cities=12 getNumberofCities Tunisia 75720 Zone:5 (turnaround time: 712 ms, execution time: 711 ms, waiting time: 1 ms, processed by Server 1)
Cities=5 getNumberofCities Kuwait 81013 Zone:5 (turnaround time: 1141 ms, execution time: 1140 ms, waiting time: 1 ms, processed by Server 1)
Countries=128 getNumberofCountries 16 17136 71980  Zone:5 (turnaround time: 536 ms, execution time: 534 ms, waiting time: 2 ms, processed by Server 1)
Cities=4 getNumberofCities Guam 16010 Zone:1 (turnaround time: 737 ms, execution time: 735 ms, waiting time: 2 ms, processed by Server 1)
Cities=12 getNumberofCities Tunisia 75720 Zone:5 (turnaround time: 1181 ms, execution time: 1180 ms, waiting time: 1 ms, processed by Server 1)
Countries=41 getNumberofCountries 32 68523 163219  Zone:4 (turnaround time: 259 ms, execution time: 258 ms, waiting time: 1 ms, processed by Server 3)
Countries=128 getNumberofCountries 16 17136 71980  Zone:5 (turnaround time: 788 ms, execution time: 785 ms, waiting time: 3 ms, processed by Server 1)
Countries=37 getNumberofCountries 40 59399 105732  Zone:4 (turnaround time: 442 ms, execution time: 441 ms, waiting time: 1 ms, processed by Server 3)
Countries=156 getNumberofCountries 4 26295 32725  Zone:1 (turnaround time: 362 ms, execution time: 361 ms, waiting time: 1 ms, processed by Server 1)
Countries=31 getNumberofCountries 35 94789 129232  Zone:2 (turnaround time: 134 ms, execution time: 133 ms, waiting time: 1 ms, processed by Server 2)
Countries=34 getNumberofCountries 38 67728 135271  Zone:1 (turnaround time: 445 ms, execution time: 444 ms, waiting time: 1 ms, processed by Server 1)
Countries=156 getNumberofCountries 4 26295 32725  Zone:1 (turnaround time: 254 ms, execution time: 253 ms, waiting time: 1 ms, processed by Server 1)
Countries=50 getNumberofCountries 18 82502 166121  Zone:1 (turnaround time: 139 ms, execution time: 137 ms, waiting time: 2 ms, processed by Server 1)
Countries=31 getNumberofCountries 47 70908 89920  Zone:4 (turnaround time: 264 ms, execution time: 252 ms, waiting time: 12 ms, processed by Server 3)
Countries=31 getNumberofCountries 47 70908 89920  Zone:4 (turnaround time: 347 ms, execution time: 345 ms, waiting time: 2 ms, processed by Server 3)
Countries=71 getNumberofCountries 26 36349 85074  Zone:5 (turnaround time: 324 ms, execution time: 323 ms, waiting time: 1 ms, processed by Server 1)
Countries=31 getNumberofCountries 47 70908 89920  Zone:4 (turnaround time: 621 ms, execution time: 615 ms, waiting time: 6 ms, processed by Server 3)
Countries=33 getNumberofCountries 26 108363 151844  Zone:2 (turnaround time: 129 ms, execution time: 128 ms, waiting time: 1 ms, processed by Server 2)
Countries=25 getNumberofCountries 41 99830 129236  Zone:5 (turnaround time: 344 ms, execution time: 341 ms, waiting time: 3 ms, processed by Server 1)
Countries=71 getNumberofCountries 26 36349 85074  Zone:5 (turnaround time: 704 ms, execution time: 703 ms, waiting time: 1 ms, processed by Server 1)
Countries=59 getNumberofCountries 23 53247 109979  Zone:5 (turnaround time: 508 ms, execution time: 507 ms, waiting time: 1 ms, processed by Server 1)
Countries=59 getNumberofCountries 23 53247 109979  Zone:5 (turnaround time: 721 ms, execution time: 719 ms, waiting time: 2 ms, processed by Server 1)
Countries=47 getNumberofCountries 20 88451 159264  Zone:1 (turnaround time: 978 ms, execution time: 976 ms, waiting time: 2 ms, processed by Server 1)
Countries=130 getNumberofCountries 9 29156 73705  Zone:4 (turnaround time: 243 ms, execution time: 240 ms, waiting time: 3 ms, processed by Server 3)
Countries=59 getNumberofCountries 23 53247 109979  Zone:5 (turnaround time: 474 ms, execution time: 473 ms, waiting time: 1 ms, processed by Server 1)
Countries=60 getNumberofCountries 46 24893 78637  Zone:3 (turnaround time: 161 ms, execution time: 161 ms, waiting time: 0 ms, processed by Server 3)
Countries=59 getNumberofCountries 23 53247 109979  Zone:5 (turnaround time: 1016 ms, execution time: 1013 ms, waiting time: 3 ms, processed by Server 1)
Countries=60 getNumberofCountries 46 24893 78637  Zone:3 (turnaround time: 86 ms, execution time: 85 ms, waiting time: 1 ms, processed by Server 3)
Countries=22 getNumberofCountries 45 109430 135643  Zone:2 (turnaround time: 145 ms, execution time: 144 ms, waiting time: 1 ms, processed by Server 2)
Countries=41 getNumberofCountries 42 48717 74733  Zone:2 (turnaround time: 197 ms, execution time: 196 ms, waiting time: 1 ms, processed by Server 2)
Countries=41 getNumberofCountries 42 48717 74733  Zone:2 (turnaround time: 112 ms, execution time: 111 ms, waiting time: 1 ms, processed by Server 2)
Countries=40 getNumberofCountries 37 59132 141719  Zone:5 (turnaround time: 580 ms, execution time: 579 ms, waiting time: 1 ms, processed by Server 1)
Countries=41 getNumberofCountries 42 48717 74733  Zone:2 (turnaround time: 131 ms, execution time: 130 ms, waiting time: 1 ms, processed by Server 2)
Countries=72 getNumberofCountries 31 28545 48490  Zone:1 (turnaround time: 735 ms, execution time: 734 ms, waiting time: 1 ms, processed by Server 1)
Countries=108 getNumberofCountries 11 40468 87521  Zone:3 (turnaround time: 116 ms, execution time: 115 ms, waiting time: 1 ms, processed by Server 3)
Countries=42 getNumberofCountries 35 55848 73143  Zone:1 (turnaround time: 182 ms, execution time: 181 ms, waiting time: 1 ms, processed by Server 1)
Countries=108 getNumberofCountries 11 40468 87521  Zone:3 (turnaround time: 99 ms, execution time: 98 ms, waiting time: 1 ms, processed by Server 3)
getNumberofCountries avg turn-around time: 381 ms, avg execution time: 379 ms, avg waiting time: 1 ms, min turn-around time: 86 ms, max turn-around time: 1016 ms
getNumberofCities avg turn-around time: 394 ms, avg execution time: 393 ms, avg waiting time: 1 ms, min turn-around time: 121 ms, max turn-around time: 1181 ms
getPopulationofCountry avg turn-around time: 347 ms, avg execution time: 345 ms, avg waiting time: 2 ms, min turn-around time: 83 ms, max turn-around time: 873 ms
